num_cortes,n_muestras,aleatorio_media,aleatorio_std,aleatorio_max,aleatorio_p95,pct_muestras_con_impacto,dirigido,ratio_dirigido_vs_media,pct_aleatorio_supera_dirigido
1,50,26834.26,114178.84,719049.71,73091.18,28.0,4190102.66,156.15,0.0
2,50,36630.28,102554.05,536035.77,241209.54,64.0,23748720.28,648.34,0.0
3,50,39220.95,163049.35,1137405.64,69730.16,68.0,27938822.94,712.34,0.0
4,50,19878.61,44276.82,267015.39,85242.92,80.0,36301372.37,1826.15,0.0
5,50,68621.75,190958.05,1084989.08,408006.08,88.0,40044858.81,583.56,0.0
