generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,9715568.6390,0,856314.02,4,1a Avenida NO | Antigua Carretera del Norte | 1a Avenida NO | 3a Calle NE,1681021108-1681021102-0; 12082634170-13528511602-0; 560542642-1681021108-0; 2347139840-12121728919-0
1,9715568.6390,1,8859254.62,5,Boulevard Cuarto Centenario | 5a Avenida NO | Boulevard Roberto Romero Larios | 6a Calle NO | 1a Avenida SE,11108423130-5235750594-0; 2347139875-2347139888-0; 512533997-560542844-0; 2347139875-4177205822-0; 2817086673-1681021107-0
2,10521716.6606,0,8859254.62,5,Boulevard Cuarto Centenario | 5a Avenida NO | Boulevard Roberto Romero Larios | 6a Calle NO | 1a Avenida SE,11108423130-5235750594-0; 2347139875-2347139888-0; 512533997-560542844-0; 2347139875-4177205822-0; 2817086673-1681021107-0
2,10521716.6606,1,1349294.52,4,(sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario | (sin nombre: 826485101-8156321333) | 1a Avenida SE,5035807331-5035807341-0; 4177220670-5235750594-0; 826485101-8156321333-0; 1681021095-2347139670-0
2,10521716.6606,2,313167.52,3,Boulevard Roberto Romero Larios | (sin nombre: 11901839970-585133558) | 2a Calle NE,5035807334-3736620999-0; 11901839970-585133558-0; 521415484-3514886782-0
3,17870067.9936,0,313167.52,3,Boulevard Roberto Romero Larios | (sin nombre: 11901839970-585133558) | 2a Calle NE,5035807334-3736620999-0; 11901839970-585133558-0; 521415484-3514886782-0
3,17870067.9936,1,15360567.03,5,5a Avenida SE | 1a Calle SE | 0 Calle Este | 4a Avenida SE | 0 Calle Este,2287106082-2287106085-0; 2287106082-2347139702-0; 1681021097-563133899-0; 4178837725-1681021070-0; 3155084351-2287106071-0
3,17870067.9936,2,2196333.44,4,"Boulevard Roberto Romero Larios | 3a Calle NE, Puente del Barrio Suyapa | Boulevard Cuarto Centenario | 3a Calle NE",512533997-560542844-0; 12121728925-12121728919-0; 521413345-521415503-0; 2347139840-12121728919-0
4,20547913.6456,0,313167.52,3,Boulevard Roberto Romero Larios | (sin nombre: 11901839970-585133558) | 2a Calle NE,5035807334-3736620999-0; 11901839970-585133558-0; 521415484-3514886782-0
4,20547913.6456,1,16454097.85,5,5a Avenida SE | 1a Calle SE | 3a Calle NE | 4a Avenida SE | (sin nombre: 1681023775-4147726427),2287106082-2287106085-0; 2287106082-2347139702-0; 12121728919-2347139840-0; 4178837725-1681021070-0; 1681023775-4147726427-0
