generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,8960712.7903,0,4321031.00,4,(sin nombre: 1681023824-3391839073) | 0A Avenida SE | 0 Calle Oeste | Antigua Carretera del Norte,1681023824-3391839073-0; 4147726389-4147721588-0; 1689601656-1689601652-0; 13528511602-12082634170-0
1,8960712.7903,1,4639681.79,5,Boulevard Cuarto Centenario | 2a Calle SE | (sin nombre: 1681023824-3391839073) | 0 Avenida Sur | Boulevard Roberto Romero Larios,4177205817-4177220670-0; 2287106085-4178837725-0; 1681023824-3391839073-0; 2287109244-563133899-0; 3736621004-512533996-0
2,9216834.9971,0,4321031.00,4,(sin nombre: 1681023824-3391839073) | 0A Avenida SE | 0 Calle Oeste | Antigua Carretera del Norte,1681023824-3391839073-0; 4147726389-4147721588-0; 1689601656-1689601652-0; 13528511602-12082634170-0
2,9216834.9971,1,139249.68,3,1a Calle SE | Boulevard Cuarto Centenario | 0 Calle Este,2287106082-2347139702-0; 1689601659-2347139656-0; 2287106071-2287106068-0
2,9216834.9971,2,4756554.32,5,6a Calle NO | (sin nombre: 1681023824-3391839073) | 0 Calle Este | 2a Avenida SO | Antigua Carretera del Norte,2347139875-4177205822-0; 1681023824-3391839073-0; 2347139747-3155084351-0; 521417200-1681021110-0; 2347139615-11904639519-0
3,15297033.8278,0,7574818.26,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | Antigua Carretera del Norte | Boulevard Roberto Romero Larios,1681023824-3391839073-0; 3391839073-1681023824-0; 3155024773-13528511602-0; 2817086675-3736621001-0
3,15297033.8278,1,147397.31,3,1a Calle SE | Boulevard Cuarto Centenario | 1a Avenida SE,2287106082-2347139702-0; 1689601659-2347139656-0; 2817086673-1681021107-0
4,15521179.1536,0,7574818.26,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | Antigua Carretera del Norte | Boulevard Roberto Romero Larios,1681023824-3391839073-0; 3391839073-1681023824-0; 3155024773-13528511602-0; 2817086675-3736621001-0
4,15521179.1536,1,147397.31,3,1a Calle SE | Boulevard Cuarto Centenario | 1a Avenida SE,2287106082-2347139702-0; 1689601659-2347139656-0; 2817086673-1681021107-0
4,15521179.1536,2,7798963.59,5,0 Calle Oeste | (sin nombre: 5391123448-2347139512) | (sin nombre: 1681023824-3391839073) | Antigua Carretera del Norte | (sin nombre: 3391839073-1681023824),563133899-1681021102-0; 5391123448-2347139512-0; 1681023824-3391839073-0; 2347139615-11904639519-0; 3391839073-1681023824-0
5,24818188.5447,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
5,24818188.5447,1,11829461.87,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | 0 Calle Este,1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 2287106071-2287106068-0
6,24818188.5447,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
6,24818188.5447,1,11829461.87,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | 0 Calle Este,1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 2287106071-2287106068-0
7,24818188.5447,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
7,24818188.5447,1,11829461.87,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | 0 Calle Este,1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 2287106071-2287106068-0
8,24845419.8986,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
8,24845419.8986,1,11843077.54,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 3154770181-1736373095),1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 3154770181-1736373095-0
9,24845419.8986,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
9,24845419.8986,1,11843077.54,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 3154770181-1736373095),1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 3154770181-1736373095-0
10,24948910.1770,0,1159264.81,3,(sin nombre: 5035807331-5035807341) | 6a Avenida SE | Boulevard Cuarto Centenario,5035807331-5035807341-0; 2347139702-2287106068-0; 4716520193-1689601659-0
10,24948910.1770,1,11843077.54,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 3154770181-1736373095),1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 3154770181-1736373095-0
10,24948910.1770,2,11946567.82,5,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | Boulevard Cuarto Centenario | (sin nombre: 3154770181-1736373095),1681021070-2287106082-0; 2287106073-2287106082-0; 4177205819-4177220675-0; 4177205817-4177220670-0; 3154770181-1736373095-0
11,25525941.4622,0,11956809.03,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | 1a Avenida NE,1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 521416651-4147726435-0
11,25525941.4622,1,1612323.41,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario,2287106082-2287106085-0; 5035807331-5035807341-0; 4716520193-1689601659-0
12,25651630.3860,0,11956809.03,4,1a Calle SE | 5a Avenida SE | Boulevard Cuarto Centenario | 1a Avenida NE,1681021070-2287106082-0; 2287106073-2287106082-0; 4177205817-4177220670-0; 521416651-4147726435-0
