generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
2,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
2,4204393.2157,1,-0.00,0,,
3,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
3,4204393.2157,1,-0.00,0,,
4,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
4,4204393.2157,1,-0.00,0,,
5,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
5,4204393.2157,1,-0.00,0,,
6,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
6,4204393.2157,1,-0.00,0,,
7,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
7,4204393.2157,1,-0.00,0,,
8,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
8,4204393.2157,1,-0.00,0,,
9,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
9,4204393.2157,1,-0.00,0,,
10,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
10,4204393.2157,1,-0.00,0,,
11,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
11,4204393.2157,1,-0.00,0,,
12,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
12,4204393.2157,1,-0.00,0,,
13,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
13,4204393.2157,1,-0.00,0,,
14,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
14,4204393.2157,1,-0.00,0,,
15,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
15,4204393.2157,1,-0.00,0,,
16,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
16,4204393.2157,1,-0.00,0,,
17,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
17,4204393.2157,1,-0.00,0,,
18,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
18,4204393.2157,1,-0.00,0,,
19,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
19,4204393.2157,1,-0.00,0,,
20,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
20,4204393.2157,1,-0.00,0,,
21,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
21,4204393.2157,1,-0.00,0,,
22,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
22,4204393.2157,1,-0.00,0,,
23,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
23,4204393.2157,1,-0.00,0,,
24,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
24,4204393.2157,1,-0.00,0,,
25,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
25,4204393.2157,1,-0.00,0,,
26,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
26,4204393.2157,1,-0.00,0,,
27,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
27,4204393.2157,1,-0.00,0,,
28,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
28,4204393.2157,1,-0.00,0,,
29,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
29,4204393.2157,1,-0.00,0,,
30,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
30,4204393.2157,1,-0.00,0,,
31,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
31,4204393.2157,1,-0.00,0,,
32,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
32,4204393.2157,1,-0.00,0,,
33,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
33,4204393.2157,1,-0.00,0,,
34,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
34,4204393.2157,1,-0.00,0,,
35,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
35,4204393.2157,1,-0.00,0,,
36,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
36,4204393.2157,1,-0.00,0,,
37,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
37,4204393.2157,1,-0.00,0,,
38,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
38,4204393.2157,1,-0.00,0,,
39,4204393.2157,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
39,4204393.2157,1,-0.00,0,,
