generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,4538395.9947,0,171242.64,1,2a Calle NE,3514886782-3154927691-0
1,4538395.9947,1,4367153.36,2,(sin nombre: 5035807335-5035807347) | (sin nombre: 1681023824-3391839073),5035807335-5035807347-0; 1681023824-3391839073-0
2,5711001.5436,0,1153001.03,1,3a Calle NE,12121728919-2347139840-0
2,5711001.5436,1,4558000.51,2,6a Calle NO | (sin nombre: 1681023824-3391839073),2347139875-4177205822-0; 1681023824-3391839073-0
3,6478897.0559,0,1153001.03,1,3a Calle NE,12121728919-2347139840-0
3,6478897.0559,1,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
4,6478897.0559,0,1153001.03,1,3a Calle NE,12121728919-2347139840-0
4,6478897.0559,1,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
5,6478897.0559,0,1153001.03,1,3a Calle NE,12121728919-2347139840-0
5,6478897.0559,1,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
5,6478897.0559,2,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
5,6478897.0559,3,1153001.03,1,3a Calle NE,12121728919-2347139840-0
6,9530289.2368,0,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
6,9530289.2368,1,5325896.02,2,3a Calle NE | (sin nombre: 1681023824-3391839073),12121728919-2347139840-0; 1681023824-3391839073-0
6,9530289.2368,2,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
6,9530289.2368,3,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
7,11670596.1262,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
7,11670596.1262,1,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
7,11670596.1262,2,7466202.91,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
8,11670596.1262,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
8,11670596.1262,1,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
8,11670596.1262,2,7466202.91,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
9,11670596.1262,0,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
9,11670596.1262,1,4204393.22,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
9,11670596.1262,2,7466202.91,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
