generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,9519400.2745,0,4704667.96,4,Boulevard Cuarto Centenario | Boulevard Cuarto Centenario | 4a Avenida SE | (sin nombre: 1681023824-3391839073),5235750594-521413345-0; 4177205822-4177205821-0; 4178837725-1681021070-0; 1681023824-3391839073-0
1,9519400.2745,1,337684.82,2,7a Calle SE | Antigua Carretera del Norte,4147726389-4178879377-0; 5035807347-5391123450-0
1,9519400.2745,2,4477047.49,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),2347139656-4024691361-0; 512533997-560542844-0; 1681023824-3391839073-0
2,20662718.5091,0,337684.82,2,7a Calle SE | Antigua Carretera del Norte,4147726389-4178879377-0; 5035807347-5391123450-0
2,20662718.5091,1,4477047.49,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),2347139656-4024691361-0; 512533997-560542844-0; 1681023824-3391839073-0
2,20662718.5091,2,15847986.20,4,5a Avenida SE | 1a Calle SE | 1a Avenida NO | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0; 1681021108-1681021102-0; 3514886778-1681021070-0
3,20662718.5091,0,337684.82,2,7a Calle SE | Antigua Carretera del Norte,4147726389-4178879377-0; 5035807347-5391123450-0
3,20662718.5091,1,4477047.49,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),2347139656-4024691361-0; 512533997-560542844-0; 1681023824-3391839073-0
3,20662718.5091,2,15847986.20,4,5a Avenida SE | 1a Calle SE | 1a Avenida NO | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0; 1681021108-1681021102-0; 3514886778-1681021070-0
4,29443964.6424,0,473592.31,2,Boulevard Cuarto Centenario | 7a Calle SE,4177205819-4177220675-0; 4147726389-4178879377-0
4,29443964.6424,1,4483719.60,3,Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073) | Boulevard Cuarto Centenario,2347139583-585133777-0; 1681023824-3391839073-0; 4024691690-4177205826-0
4,29443964.6424,2,24486652.74,4,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0; 4176952886-2817086675-0
5,29689172.7181,0,473592.31,2,Boulevard Cuarto Centenario | 7a Calle SE,4177205819-4177220675-0; 4147726389-4178879377-0
5,29689172.7181,1,24486652.74,4,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0; 4176952886-2817086675-0
5,29689172.7181,2,4728927.67,3,1a Calle SO | (sin nombre: 1681023824-3391839073) | Boulevard Cuarto Centenario,1681021088-2287109244-0; 1681023824-3391839073-0; 4024691690-4177205826-0
6,53251975.2675,0,24486652.74,4,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0; 4176952886-2817086675-0
6,53251975.2675,1,4323979.93,2,5a Avenida SE | (sin nombre: 1681023824-3391839073),2287106073-2287106082-0; 1681023824-3391839073-0
6,53251975.2675,2,24441342.60,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0
7,53304165.2665,0,4323979.93,2,5a Avenida SE | (sin nombre: 1681023824-3391839073),2287106073-2287106082-0; 1681023824-3391839073-0
7,53304165.2665,1,24441342.60,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0
7,53304165.2665,2,24538842.74,4,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario | Antigua Carretera del Norte,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0; 2347139615-11904639519-0
8,53518631.6699,0,24441342.60,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0
8,53518631.6699,1,24538842.74,4,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario | Antigua Carretera del Norte,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0; 2347139615-11904639519-0
8,53518631.6699,2,4538446.33,2,(sin nombre: 1681023824-3391839073) | 9a Calle NO,1681023824-3391839073-0; 521414481-521416651-0
9,57591445.4385,0,24441342.60,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0
9,57591445.4385,1,4538446.33,2,(sin nombre: 1681023824-3391839073) | 9a Calle NO,1681023824-3391839073-0; 521414481-521416651-0
9,57591445.4385,2,28611656.50,4,1a Calle SO | 1a Avenida SO | 0 Calle Oeste | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1689601656-1689601652-0; 1681023824-3391839073-0
10,68661727.1084,0,24441342.60,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 4177205817-4177220670-0
10,68661727.1084,1,28611656.50,4,1a Calle SO | 1a Avenida SO | 0 Calle Oeste | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1689601656-1689601652-0; 1681023824-3391839073-0
10,68661727.1084,2,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
11,68831141.0364,0,28611656.50,4,1a Calle SO | 1a Avenida SO | 0 Calle Oeste | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1689601656-1689601652-0; 1681023824-3391839073-0
11,68831141.0364,1,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
11,68831141.0364,2,24610756.53,3,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885428-8829885427),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885428-8829885427-0
12,69394764.2361,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
12,69394764.2361,1,24610756.53,3,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885428-8829885427),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885428-8829885427-0
12,69394764.2361,2,28805233.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 1681023824-3391839073-0
12,69394764.2361,3,370045.77,1,(sin nombre: 5035807344-5035807334),5035807344-5035807334-0
13,69395619.2696,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
13,69395619.2696,1,28805233.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 1681023824-3391839073-0
13,69395619.2696,2,370045.77,1,(sin nombre: 5035807344-5035807334),5035807344-5035807334-0
13,69395619.2696,3,24611611.56,3,1a Calle SO | 1a Avenida SO | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 1681021070-2287106082-0
14,86009441.5679,0,28805233.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 1681023824-3391839073-0
14,86009441.5679,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
14,86009441.5679,2,28602103.81,3,1a Calle SO | 1a Avenida SO | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1681023824-3391839073-0
14,86009441.5679,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
14,86009441.5679,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
14,86009441.5679,5,28602103.81,3,1a Calle SO | 1a Avenida SO | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1681023824-3391839073-0
14,86009441.5679,6,28602103.81,3,1a Calle SO | 1a Avenida SO | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1681023824-3391839073-0
15,86009441.5679,0,28805233.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 1681023824-3391839073-0
15,86009441.5679,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
15,86009441.5679,2,28602103.81,3,1a Calle SO | 1a Avenida SO | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1681023824-3391839073-0
15,86009441.5679,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
15,86009441.5679,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
15,86009441.5679,5,28602103.81,3,1a Calle SO | 1a Avenida SO | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 1681023824-3391839073-0
