generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,24773877.7322,0,473658.33,1,5a Avenida SE,2287106082-2287106085-0
1,24773877.7322,1,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
1,24773877.7322,2,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
1,24773877.7322,3,473658.33,1,5a Avenida SE,2287106082-2287106085-0
1,24773877.7322,4,-0.00,0,,
2,24773877.7322,0,473658.33,1,5a Avenida SE,2287106082-2287106085-0
2,24773877.7322,1,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
2,24773877.7322,2,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
2,24773877.7322,3,473658.33,1,5a Avenida SE,2287106082-2287106085-0
2,24773877.7322,4,-0.00,0,,
2,24773877.7322,5,473658.33,1,5a Avenida SE,2287106082-2287106085-0
3,24773877.7322,0,473658.33,1,5a Avenida SE,2287106082-2287106085-0
3,24773877.7322,1,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
3,24773877.7322,2,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
3,24773877.7322,3,473658.33,1,5a Avenida SE,2287106082-2287106085-0
3,24773877.7322,4,-0.00,0,,
3,24773877.7322,5,473658.33,1,5a Avenida SE,2287106082-2287106085-0
