generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,4301884.4116,0,4301884.41,2,(sin nombre: 1681023824-3391839073) | 0 Calle Oeste,1681023824-3391839073-0; 1689601652-1681021102-0
2,4495055.7762,0,35746.65,1,Antigua Carretera del Norte,8829885439-8829885425-0
2,4495055.7762,1,4459309.13,2,(sin nombre: 1681023824-3391839073) | 6a Avenida SE,1681023824-3391839073-0; 2347139607-512533997-0
3,4581966.8115,0,4459309.13,2,(sin nombre: 1681023824-3391839073) | 6a Avenida SE,1681023824-3391839073-0; 2347139607-512533997-0
3,4581966.8115,1,122657.69,1,Antigua Carretera del Norte,3155024773-13528511602-0
4,7744975.6023,0,122657.69,1,Antigua Carretera del Norte,3155024773-13528511602-0
4,7744975.6023,1,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
5,7744975.6023,0,122657.69,1,Antigua Carretera del Norte,3155024773-13528511602-0
5,7744975.6023,1,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
6,8304871.9414,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
6,8304871.9414,1,682554.02,1,3a Calle NE,2347139840-12121728919-0
7,8304871.9414,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
7,8304871.9414,1,682554.02,1,3a Calle NE,2347139840-12121728919-0
8,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
8,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
9,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
9,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
10,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
10,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
10,11924202.3286,2,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
11,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
11,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
11,11924202.3286,2,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
11,11924202.3286,3,-0.00,0,,
12,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
12,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
12,11924202.3286,2,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
12,11924202.3286,3,-0.00,0,,
13,11924202.3286,0,7622317.92,2,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824),1681023824-3391839073-0; 3391839073-1681023824-0
13,11924202.3286,1,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
13,11924202.3286,2,4301884.41,1,(sin nombre: 1681023824-3391839073),1681023824-3391839073-0
13,11924202.3286,3,-0.00,0,,
