generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,877461.0198,0,877461.02,2,5a Avenida SE | Boulevard Cuarto Centenario,2287106082-2287106085-0; 1736373095-4147757830-0
2,1643119.2807,0,1423436.73,2,1a Avenida SO | (sin nombre: 5035807331-5035807341),1681021102-1681021088-0; 5035807331-5035807341-0
2,1643119.2807,1,219682.55,1,(sin nombre: 8829885429-8829885428),8829885429-8829885428-0
3,15828410.5572,0,219682.55,1,(sin nombre: 8829885429-8829885428),8829885429-8829885428-0
3,15828410.5572,1,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
4,15875214.0621,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
4,15875214.0621,1,266486.06,1,Boulevard Cuarto Centenario,4177205820-4177205819-0
5,15881464.1380,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
5,15881464.1380,1,272736.13,1,Boulevard Cuarto Centenario,4177205821-4177205820-0
6,16735406.6754,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
6,16735406.6754,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
7,16735406.6754,0,15608728.00,2,5a Avenida SE | 1a Calle SE,2287106082-2287106085-0; 2287106082-2347139702-0
7,16735406.6754,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
7,16735406.6754,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
8,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
8,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
8,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
8,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
9,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
9,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
9,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
9,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
9,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
10,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
10,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
10,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
10,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
10,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
10,25426898.0741,5,-0.00,0,,
11,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
11,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
11,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
11,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
11,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
11,25426898.0741,5,-0.00,0,,
12,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
12,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
12,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
12,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
12,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
12,25426898.0741,5,-0.00,0,,
13,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
13,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
13,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
13,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
13,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
13,25426898.0741,5,-0.00,0,,
14,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
14,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
14,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
14,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
14,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
14,25426898.0741,5,-0.00,0,,
15,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
15,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
15,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
15,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
15,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
15,25426898.0741,5,-0.00,0,,
16,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
16,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
16,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
16,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
16,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
16,25426898.0741,5,-0.00,0,,
17,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
17,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
17,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
17,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
17,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
17,25426898.0741,5,-0.00,0,,
18,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
18,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
18,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
18,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
18,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
18,25426898.0741,5,-0.00,0,,
19,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
19,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
19,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
19,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
19,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
19,25426898.0741,5,-0.00,0,,
20,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
20,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
20,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
20,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
20,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
20,25426898.0741,5,-0.00,0,,
21,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
21,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
21,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
21,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
21,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
21,25426898.0741,5,-0.00,0,,
22,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
22,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
22,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
22,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
22,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
22,25426898.0741,5,-0.00,0,,
23,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
23,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
23,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
23,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
23,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
23,25426898.0741,5,-0.00,0,,
24,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
24,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
24,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
24,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
24,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
24,25426898.0741,5,-0.00,0,,
25,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
25,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
25,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
25,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
25,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
25,25426898.0741,5,-0.00,0,,
26,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
26,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
26,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
26,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
26,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
26,25426898.0741,5,-0.00,0,,
27,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
27,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
27,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
27,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
27,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
27,25426898.0741,5,-0.00,0,,
28,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
28,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
28,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
28,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
28,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
28,25426898.0741,5,-0.00,0,,
29,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
29,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
29,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
29,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
29,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
29,25426898.0741,5,-0.00,0,,
30,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
30,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
30,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
30,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
30,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
30,25426898.0741,5,-0.00,0,,
31,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
31,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
31,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
31,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
31,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
31,25426898.0741,5,-0.00,0,,
32,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
32,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
32,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
32,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
32,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
32,25426898.0741,5,-0.00,0,,
33,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
33,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
33,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
33,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
33,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
33,25426898.0741,5,-0.00,0,,
34,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
34,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
34,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
34,25426898.0741,3,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
34,25426898.0741,4,24300219.40,2,1a Calle SO | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0
34,25426898.0741,5,-0.00,0,,
35,25426898.0741,0,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
35,25426898.0741,1,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
35,25426898.0741,2,1126678.67,1,(sin nombre: 5035807331-5035807341),5035807331-5035807341-0
