num_cortes,n_muestras,aleatorio_media,aleatorio_std,aleatorio_max,aleatorio_p95,pct_muestras_con_impacto,dirigido,ratio_dirigido_vs_media,pct_aleatorio_supera_dirigido
1,50,3535.31,10797.11,56649.73,28786.38,26.0,4190102.66,1185.21,0.0
2,50,10888.39,35913.24,246491.39,40031.32,50.0,23748720.28,2181.10,0.0
3,50,38283.70,120725.69,794418.71,166215.34,70.0,27938822.94,729.78,0.0
4,50,85493.75,381071.06,2622175.55,221168.18,78.0,36301372.37,424.61,0.0
5,50,59583.48,335070.01,2401303.17,67392.59,94.0,40044858.81,672.08,0.0
