generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,10661935.4127,0,4427130.14,4,Antigua Carretera del Norte | 4a Avenida SE | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),8829885451-2347139583-0; 4178837725-1681021070-0; 1681023745-4147792494-0; 1681023824-3391839073-0
1,10661935.4127,1,6234805.28,5,1a Avenida SO | 3a Calle NE | (sin nombre: 1681023824-3391839073) | 2a Calle SO | 1a Avenida SE,1681021102-1681021088-0; 12121728919-2347139840-0; 1681023824-3391839073-0; 1681021081-1681021110-0; 3200880275-1681021061-0
2,20181064.0685,0,15578287.79,5,5a Avenida SE | 1a Calle SE | 4a Avenida SE | 2a Avenida NE | 2a Avenida SO,2287106082-2287106085-0; 2287106082-2347139702-0; 4178837725-1681021070-0; 521414474-521414481-0; 4024691363-521417200-0
2,20181064.0685,1,4602776.28,4,Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073) | 2a Calle SO | 1a Avenida SE,585133723-11904639538-0; 1681023824-3391839073-0; 1681021081-1681021110-0; 3200880275-1681021061-0
3,24314144.4350,0,561041.88,3,Antigua Carretera del Norte | Boulevard Roberto Romero Larios | 2a Avenida NE,11904639538-8829885429-0; 5035807334-3736620999-0; 521414474-521414481-0
3,24314144.4350,1,19130141.81,5,5a Avenida SE | 1a Calle SE | 1a Calle SO | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),2287106082-2287106085-0; 2287106082-2347139702-0; 5235750594-1681021104-0; 1681023745-4147792494-0; 1681023824-3391839073-0
3,24314144.4350,2,4622960.75,4,0 Calle Este | Boulevard Roberto Romero Larios | Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073),2287106068-2287106073-0; 512533997-560542844-0; 826485101-5035807331-0; 1681023824-3391839073-0
4,28628070.5129,0,19130141.81,5,5a Avenida SE | 1a Calle SE | 1a Calle SO | Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073),2287106082-2287106085-0; 2287106082-2347139702-0; 5235750594-1681021104-0; 1681023745-4147792494-0; 1681023824-3391839073-0
4,28628070.5129,1,5206225.91,4,1a Calle SO | (sin nombre: 1681023824-3391839073) | (sin nombre: 3154921857-12121728925) | Boulevard Roberto Romero Larios,1681021104-2287109250-0; 1681023824-3391839073-0; 3154921857-12121728925-0; 2817086667-512533997-0
4,28628070.5129,2,4291702.80,3,Antigua Carretera del Norte | Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073),585133723-11904639538-0; 2347139583-585133777-0; 1681023824-3391839073-0
5,52004688.2004,0,4374386.44,3,1a Calle SO | (sin nombre: 1681023824-3391839073) | Boulevard Roberto Romero Larios,1681021104-2287109250-0; 1681023824-3391839073-0; 2817086667-512533997-0
5,52004688.2004,1,23815150.88,4,1a Calle SO | 1a Avenida SO | 1a Avenida SE | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 521417211-1681021113-0; 4024691363-521417200-0
6,52724548.0489,0,4712984.74,3,1a Calle SO | (sin nombre: 1681023824-3391839073) | 9a Calle NO,2287109250-1681021088-0; 1681023824-3391839073-0; 521414481-521416651-0
6,52724548.0489,1,24069732.73,5,1a Calle SO | 1a Avenida SO | 6a Calle NO | 1a Avenida SE | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 2347139875-4177205822-0; 521417211-1681021113-0; 4024691363-521417200-0
