generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,4681376.1628,0,173671.18,3,0 Calle Oeste | 1a Avenida SO | 3a Calle SE,563133899-1681021102-0; 1681021088-1681021081-0; 2287109245-2287109242-0
1,4681376.1628,1,4507704.98,4,(sin nombre: 585133715-8829885439) | (sin nombre: 1681023824-3391839073) | Boulevard Cuarto Centenario | 3a Avenida SE,585133715-8829885439-0; 1681023824-3391839073-0; 4177205827-4177205824-0; 2287109241-2287109242-0
2,5733687.6595,0,173671.18,3,0 Calle Oeste | 1a Avenida SO | 3a Calle SE,563133899-1681021102-0; 1681021088-1681021081-0; 2287109245-2287109242-0
2,5733687.6595,1,5560016.48,4,(sin nombre: 5035807331-5035807341) | Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073) | Antigua Carretera del Norte,5035807331-5035807341-0; 585133723-11904639538-0; 1681023824-3391839073-0; 2973091137-8829885451-0
3,8076776.4924,0,5560016.48,4,(sin nombre: 5035807331-5035807341) | Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073) | Antigua Carretera del Norte,5035807331-5035807341-0; 585133723-11904639538-0; 1681023824-3391839073-0; 2973091137-8829885451-0
3,8076776.4924,1,1258380.01,2,1a Calle SE | 3a Calle NE,2287106082-2347139702-0; 12121728919-2347139840-0
4,8375882.7043,0,5560016.48,4,(sin nombre: 5035807331-5035807341) | Antigua Carretera del Norte | (sin nombre: 1681023824-3391839073) | Antigua Carretera del Norte,5035807331-5035807341-0; 585133723-11904639538-0; 1681023824-3391839073-0; 2973091137-8829885451-0
4,8375882.7043,1,1258380.01,2,1a Calle SE | 3a Calle NE,2287106082-2347139702-0; 12121728919-2347139840-0
4,8375882.7043,2,1557486.22,3,1a Avenida SO | 1a Calle SE | 3a Calle NE,1681021102-1681021088-0; 2287106082-2347139702-0; 12121728919-2347139840-0
5,13238335.2314,0,1258380.01,2,1a Calle SE | 3a Calle NE,2287106082-2347139702-0; 12121728919-2347139840-0
5,13238335.2314,1,4343631.36,3,Boulevard Cuarto Centenario | (sin nombre: 1681023824-3391839073) | 1a Avenida SE,2347139656-4024691361-0; 1681023824-3391839073-0; 521417697-1681021084-0
5,13238335.2314,2,7636323.86,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | 1a Avenida SE | 1a Avenida SE,1681023824-3391839073-0; 3391839073-1681023824-0; 2817086673-1681021107-0; 1681021063-1681021097-0
6,13238335.2314,0,1258380.01,2,1a Calle SE | 3a Calle NE,2287106082-2347139702-0; 12121728919-2347139840-0
6,13238335.2314,1,4343631.36,3,Boulevard Cuarto Centenario | (sin nombre: 1681023824-3391839073) | 1a Avenida SE,2347139656-4024691361-0; 1681023824-3391839073-0; 521417697-1681021084-0
6,13238335.2314,2,7636323.86,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | 1a Avenida SE | 1a Avenida SE,1681023824-3391839073-0; 3391839073-1681023824-0; 2817086673-1681021107-0; 1681021063-1681021097-0
7,13495717.8958,0,4343631.36,3,Boulevard Cuarto Centenario | (sin nombre: 1681023824-3391839073) | 1a Avenida SE,2347139656-4024691361-0; 1681023824-3391839073-0; 521417697-1681021084-0
7,13495717.8958,1,7654737.27,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | Paseo Ronda La Alameda | 3a Calle SE,1681023824-3391839073-0; 3391839073-1681023824-0; 2347139811-565490741-0; 2287109245-2287109242-0
7,13495717.8958,2,1497349.26,2,1a Avenida SO | 3a Calle NE,1681021102-1681021088-0; 12121728919-2347139840-0
8,13762071.4988,0,1497349.26,2,1a Avenida SO | 3a Calle NE,1681021102-1681021088-0; 12121728919-2347139840-0
8,13762071.4988,1,4538258.96,3,Boulevard Roberto Romero Larios | (sin nombre: 1681023824-3391839073) | (sin nombre: 2347139951-1736373095),512533997-560542844-0; 1681023824-3391839073-0; 2347139951-1736373095-0
8,13762071.4988,2,7726463.28,4,(sin nombre: 1681023824-3391839073) | (sin nombre: 3391839073-1681023824) | Boulevard Cuarto Centenario | 1a Avenida SE,1681023824-3391839073-0; 3391839073-1681023824-0; 521413345-521415503-0; 1681021063-1681021097-0
9,35287064.8986,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
9,35287064.8986,1,16807378.19,3,5a Avenida SE | 1a Calle SE | 3a Calle NE,2287106082-2287106085-0; 2287106082-2347139702-0; 12121728919-2347139840-0
10,35287064.8986,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
10,35287064.8986,1,16807378.19,3,5a Avenida SE | 1a Calle SE | 3a Calle NE,2287106082-2287106085-0; 2287106082-2347139702-0; 12121728919-2347139840-0
10,35287064.8986,2,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
11,52084418.3695,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
11,52084418.3695,1,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
11,52084418.3695,2,25206054.93,3,1a Calle SO | 1a Avenida SO | 3a Calle NE,2287109250-1681021088-0; 1681021102-1681021088-0; 12121728919-2347139840-0
12,55791004.3820,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
12,55791004.3820,1,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
12,55791004.3820,2,25206054.93,3,1a Calle SO | 1a Avenida SO | 3a Calle NE,2287109250-1681021088-0; 1681021102-1681021088-0; 12121728919-2347139840-0
12,55791004.3820,3,28912640.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885428-8829885427) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885428-8829885427-0; 1681023824-3391839073-0
13,55791004.3820,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
13,55791004.3820,1,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
13,55791004.3820,2,25206054.93,3,1a Calle SO | 1a Avenida SO | 3a Calle NE,2287109250-1681021088-0; 1681021102-1681021088-0; 12121728919-2347139840-0
13,55791004.3820,3,28912640.94,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885428-8829885427) | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885428-8829885427-0; 1681023824-3391839073-0
14,55791004.3820,0,1672308.52,2,5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 12121728919-2347139840-0
