num_cortes,n_muestras,aleatorio_media,aleatorio_std,aleatorio_max,aleatorio_p95,pct_muestras_con_impacto,dirigido,ratio_dirigido_vs_media,pct_aleatorio_supera_dirigido
1,250,13027.54,78560.11,1111668.19,44610.42,31.6,1153001.03,88.50,0.0
2,250,20494.39,115421.76,1153001.03,57166.36,52.0,2232938.22,108.95,0.0
3,250,22703.51,97023.50,805049.21,65937.73,62.4,24761336.79,1090.64,0.0
4,250,40586.32,135180.61,996208.95,135798.31,78.8,25631351.70,631.53,0.0
5,250,45826.73,147569.29,1265472.67,174079.78,87.6,26045047.00,568.34,0.0
