generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,4420032.8818,0,757158.02,3,1a Calle SE | 1a Calle SE | 5a Avenida SE,2287106082-2347139702-0; 1681021070-2287106082-0; 2287106085-2287109240-0
1,4420032.8818,1,1662281.78,4,7a Calle SE | 3a Calle NE | (sin nombre: 8829885428-8829885427) | (sin nombre: 8829885443-585133715),4147726389-4178879377-0; 12121728919-2347139840-0; 8829885428-8829885427-0; 8829885443-585133715-0
1,4420032.8818,2,2000593.09,5,5a Avenida SE | Antigua Carretera del Norte | 0 Calle Oeste | 3a Calle NE | Boulevard Cuarto Centenario,2287106082-2287106085-0; 5391123447-5391123448-0; 563133899-1681021102-0; 12121728919-2347139840-0; 2347139626-4716520193-0
2,27227775.1241,0,757158.02,3,1a Calle SE | 1a Calle SE | 5a Avenida SE,2287106082-2347139702-0; 1681021070-2287106082-0; 2287106085-2287109240-0
2,27227775.1241,1,2719450.36,4,Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | Antigua Carretera del Norte,1736373095-4147757830-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 8829885451-2347139583-0
2,27227775.1241,2,23751166.75,5,1a Calle SO | 1a Avenida SO | 1a Calle SO | 0 Calle Oeste | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 1681021104-2287109250-0; 563133899-1681021102-0; 4147757830-4024691696-0
3,41060795.4081,0,757158.02,3,1a Calle SE | 1a Calle SE | 5a Avenida SE,2287106082-2347139702-0; 1681021070-2287106082-0; 2287106085-2287109240-0
3,41060795.4081,1,23802500.52,5,1a Calle SO | 1a Avenida SO | 1a Calle SO | Antigua Carretera del Norte | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 1681021104-2287109250-0; 8829885451-2347139583-0; 4147757830-4024691696-0
3,41060795.4081,2,16501136.88,4,5a Avenida SE | 1a Calle SE | 5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 2287106082-2347139702-0; 2287106073-2287106082-0; 12121728919-2347139840-0
4,41714456.0573,0,16501136.88,4,5a Avenida SE | 1a Calle SE | 5a Avenida SE | 3a Calle NE,2287106082-2287106085-0; 2287106082-2347139702-0; 2287106073-2287106082-0; 12121728919-2347139840-0
