generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,84506671.4112,0,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
1,84506671.4112,1,36303277.23,5,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0; 1681021110-2287109250-0
1,84506671.4112,2,23750625.14,3,1a Calle SO | 1a Avenida SO | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 1681021110-2287109250-0
2,84741335.2080,0,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
2,84741335.2080,1,36303277.23,5,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0; 1681021110-2287109250-0
2,84741335.2080,2,23750625.14,3,1a Calle SO | 1a Avenida SO | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 1681021110-2287109250-0
2,84741335.2080,3,234663.80,2,(sin nombre: 8829885429-8829885428) | 5a Avenida SE,8829885429-8829885428-0; 2287106073-2287106082-0
2,84741335.2080,4,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
3,85237694.8558,0,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
3,85237694.8558,1,36303277.23,5,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE | 2a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0; 1681021110-2287109250-0
3,85237694.8558,2,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
3,85237694.8558,3,533021.63,2,(sin nombre: 5035807344-5035807334) | 1a Calle SO,5035807344-5035807334-0; 1681021104-2287109250-0
3,85237694.8558,4,24452769.04,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 1681021070-2287106082-0
3,85237694.8558,5,23948626.95,3,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0
4,97594861.5372,0,589216.16,2,5a Avenida SE | 1a Calle SO,2287106082-2287106085-0; 1681021104-2287109250-0
4,97594861.5372,1,24111686.50,3,1a Calle SO | 1a Avenida SO | (sin nombre: 5035807344-5035807334),2287109250-1681021088-0; 1681021102-1681021088-0; 5035807344-5035807334-0
4,97594861.5372,2,36592586.51,5,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0; 1681021070-2287106082-0
4,97594861.5372,3,36301372.37,4,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0
5,97882400.4608,0,36592586.51,5,1a Calle SO | 1a Avenida SO | 5a Avenida SE | 1a Calle SE | 1a Calle SE,2287109250-1681021088-0; 1681021102-1681021088-0; 2287106082-2287106085-0; 2287106082-2347139702-0; 1681021070-2287106082-0
