num_cortes,n_muestras,aleatorio_media,aleatorio_std,aleatorio_max,aleatorio_p95,pct_muestras_con_impacto,dirigido,ratio_dirigido_vs_media,pct_aleatorio_supera_dirigido
1,10,5344.66,15177.83,50850.11,28721.51,50.0,290766.22,54.40,0.0
2,10,19800.92,57566.08,192467.41,107474.93,60.0,23748720.28,1199.37,0.0
3,10,13249.51,33607.97,113454.09,67968.85,70.0,24154517.08,1823.05,0.0
4,10,2099.74,3286.36,10880.78,8250.61,90.0,36301372.37,17288.52,0.0
5,10,37545.58,52904.40,184348.08,126150.63,90.0,36592586.51,974.62,0.0
