generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,28434804.5789,0,23981652.33,5,1a Calle SO | 1a Avenida SO | Antigua Carretera del Norte | Boulevard Roberto Romero Larios | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 11904639538-8829885429-0; 2817086667-512533997-0; 1681021088-1681021081-0
1,28434804.5789,1,4453152.25,4,1a Calle SO | (sin nombre: 1681023824-3391839073) | 1a Calle SE | 0 Calle Este,5235750594-1681021104-0; 1681023824-3391839073-0; 3514886778-1681021070-0; 2347139747-3155084351-0
2,28773253.8892,0,4659414.12,4,1a Calle SO | Antigua Carretera del Norte | 6a Avenida SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 5391123447-5391123448-0; 2347139702-2287106068-0; 1681023824-3391839073-0
2,28773253.8892,1,24113839.77,5,1a Calle SO | 1a Avenida SO | Antigua Carretera del Norte | 2a Avenida NE | 1a Avenida SO,2287109250-1681021088-0; 1681021102-1681021088-0; 11904639538-8829885429-0; 521414474-521414481-0; 1681021088-1681021081-0
3,30120427.1447,0,4659414.12,4,1a Calle SO | Antigua Carretera del Norte | 6a Avenida SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 5391123447-5391123448-0; 2347139702-2287106068-0; 1681023824-3391839073-0
3,30120427.1447,1,690738.34,3,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 8829885443-585133715),2287106082-2287106085-0; 2347139626-4716520193-0; 8829885443-585133715-0
3,30120427.1447,2,24770274.68,5,"1a Calle SO | 1a Avenida SO | Antigua Carretera del Norte | 3a Calle NE, Puente del Barrio Suyapa | Boulevard Roberto Romero Larios",2287109250-1681021088-0; 1681021102-1681021088-0; 826485101-5035807331-0; 12121728925-12121728919-0; 2817086667-512533997-0
4,30833359.0568,0,690738.34,3,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 8829885443-585133715),2287106082-2287106085-0; 2347139626-4716520193-0; 8829885443-585133715-0
4,30833359.0568,1,24770274.68,5,"1a Calle SO | 1a Avenida SO | Antigua Carretera del Norte | 3a Calle NE, Puente del Barrio Suyapa | Boulevard Roberto Romero Larios",2287109250-1681021088-0; 1681021102-1681021088-0; 826485101-5035807331-0; 12121728925-12121728919-0; 2817086667-512533997-0
4,30833359.0568,2,5372346.04,4,2a Calle SE | Boulevard Cuarto Centenario | (sin nombre: 1681023824-3391839073) | (sin nombre: 3154921857-12121728925),2287106085-4178837725-0; 4177220675-4177205817-0; 1681023824-3391839073-0; 3154921857-12121728925-0
5,53054040.4019,0,690738.34,3,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 8829885443-585133715),2287106082-2287106085-0; 2347139626-4716520193-0; 8829885443-585133715-0
5,53054040.4019,1,24195769.54,4,1a Calle SO | 1a Avenida SO | 7a Calle SE | 6a Calle NO,2287109250-1681021088-0; 1681021102-1681021088-0; 4147726389-4178879377-0; 2347139875-4177205822-0
5,53054040.4019,2,28167532.52,5,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | 1a Calle SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 2347139702-2347139707-0; 1681023824-3391839073-0
6,54017060.8980,0,24195769.54,4,1a Calle SO | 1a Avenida SO | 7a Calle SE | 6a Calle NO,2287109250-1681021088-0; 1681021102-1681021088-0; 4147726389-4178879377-0; 2347139875-4177205822-0
6,54017060.8980,1,28167532.52,5,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | 1a Calle SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 2347139702-2347139707-0; 1681023824-3391839073-0
6,54017060.8980,2,1653758.84,3,5a Avenida SE | 3a Calle NE | Boulevard Cuarto Centenario,2287106082-2287106085-0; 12121728919-2347139840-0; 4024691361-1689601661-0
7,54017060.8980,0,24195769.54,4,1a Calle SO | 1a Avenida SO | 7a Calle SE | 6a Calle NO,2287109250-1681021088-0; 1681021102-1681021088-0; 4147726389-4178879377-0; 2347139875-4177205822-0
7,54017060.8980,1,28167532.52,5,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | 1a Calle SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 2347139702-2347139707-0; 1681023824-3391839073-0
7,54017060.8980,2,1653758.84,3,5a Avenida SE | 3a Calle NE | Boulevard Cuarto Centenario,2287106082-2287106085-0; 12121728919-2347139840-0; 4024691361-1689601661-0
8,55099986.6081,0,28167532.52,5,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | 1a Calle SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 2347139702-2347139707-0; 1681023824-3391839073-0
8,55099986.6081,1,2009073.89,3,1a Avenida SO | 5a Avenida SE | 3a Calle NE,1681021102-1681021088-0; 2287106082-2287106085-0; 12121728919-2347139840-0
8,55099986.6081,2,24923380.19,4,1a Calle SO | 1a Avenida SO | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 5035807331-5035807341-0; 4024691696-4024691690-0
9,77519554.1757,0,28167532.52,5,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | 1a Calle SE | (sin nombre: 1681023824-3391839073),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 2347139702-2347139707-0; 1681023824-3391839073-0
9,77519554.1757,1,25056973.56,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 5035807331-5035807341),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 5035807331-5035807341-0
9,77519554.1757,2,494964.42,2,1a Calle SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 4177205822-4177205821-0
9,77519554.1757,3,23800083.67,3,1a Calle SO | 1a Avenida SO | Boulevard Cuarto Centenario,2287109250-1681021088-0; 1681021102-1681021088-0; 3343104922-2347139626-0
10,78876019.0373,0,25056973.56,4,1a Calle SO | 1a Avenida SO | (sin nombre: 8829885429-8829885428) | (sin nombre: 5035807331-5035807341),2287109250-1681021088-0; 1681021102-1681021088-0; 8829885429-8829885428-0; 5035807331-5035807341-0
